recovery_deficit_m,exposed_area_m2,deficit_x_exposed,target
3.14,10.63,33.36,1
3.11,11.88,36.94,1
4.23,15.62,66.04,1
0.1,1.15,0.12,1
3.01,10.27,30.86,1
0.12,0.5,0.06,0
3.22,13.7,44.16,1
5.08,18.54,94.14,1
0.1,0.5,0.05,1
3.6,12.7,45.7,1
0.1,0.5,0.05,0
3.04,12.79,38.87,1
0.47,1.91,0.9,0
0.62,2.45,1.51,0
1.32,3.64,4.8,0
0.1,0.67,0.07,0
0.55,3.03,1.68,0
2.9,11.92,34.53,1
4.7,18.38,86.29,1
0.32,0.5,0.16,1
0.58,2.47,1.44,1
1.43,5.95,8.48,1
3.34,11.27,37.66,1
0.95,2.7,2.56,1
3.31,13.28,43.92,1
2.68,10.88,29.15,1
3.04,10.31,31.32,1
0.49,2.49,1.22,1
3.13,11.97,37.48,1
2.74,11.03,30.2,0
3.98,14.61,58.14,1
1.63,6.72,10.96,0
3.95,15.68,61.92,1
0.78,2.66,2.07,1
4.38,16.66,72.98,1
0.65,1.96,1.28,1
0.1,1.7,0.17,1
0.1,0.5,0.05,1
3.78,13.61,51.37,1
2.79,10.03,27.99,1
0.7,2.77,1.95,1
3.03,12.12,36.72,1
4.81,17.22,82.84,1
3.8,15.92,60.5,1
1.99,7.8,15.5,1
0.1,0.75,0.08,1
1.07,3.98,4.25,0
0.64,2.46,1.58,0
3.74,14.1,52.73,1
3.13,12.72,39.85,0
3.99,15.14,60.37,0
0.91,4.08,3.71,1
0.66,2.18,1.45,0
2.87,11.04,31.64,1
1.56,5.27,8.21,0
0.58,3.19,1.87,1
2.93,10.47,30.68,1
3.93,14.69,57.77,0
1.86,6.81,12.65,1
5.04,18.86,95.03,1
1.84,7.56,13.89,1
2.94,10.94,32.21,1
3.16,13.13,41.54,1
0.1,0.5,0.05,0
1.57,6.11,9.6,1
2.68,9.55,25.58,1
0.1,0.72,0.07,0
1.59,6.04,9.63,1
0.1,0.5,0.05,0
4.17,16.81,70.13,0
0.96,3.14,3.02,1
3.03,11.97,36.24,1
5.36,19.77,106.06,0
3.65,13.94,50.82,1
0.96,2.71,2.61,1
5.59,20.72,115.85,0
3.75,14.17,53.05,1
3.33,14.12,47.06,1
2.32,8.88,20.56,1
1.32,6.33,8.32,0
0.29,1.27,0.36,0
1.04,3.63,3.76,1
0.1,1.61,0.16,1
1.28,5.22,6.7,0
3.27,11.9,38.88,1
0.73,3.13,2.27,1
2.7,10.04,27.17,0
2.3,7.16,16.47,1
0.1,1.13,0.11,0
3.23,13.16,42.55,0
0.1,1.85,0.19,0
5.05,19.53,98.62,1
0.24,0.71,0.17,1
1.36,5.82,7.89,1
0.1,1.06,0.11,0
4.15,17.09,70.99,1
0.1,0.5,0.05,0
0.1,0.5,0.05,0
3.46,12.57,43.44,1
3.24,12.73,41.19,1
0.65,1.24,0.81,1
3.12,12.48,38.94,0
3.37,13.26,44.65,0
4.14,16.2,67.06,1
3.34,12.78,42.63,1
3.86,15.91,61.5,1
5.08,20.01,101.68,0
1.78,6.28,11.18,1
3.22,11.77,37.93,1
3.58,12.91,46.23,1
0.1,0.82,0.08,0
1.55,5.09,7.89,0
0.13,1.37,0.18,0
0.1,1.44,0.14,0
1.07,3.36,3.6,0
2.2,8.22,18.11,1
3.24,12.31,39.83,1
1.09,4.86,5.32,0
0.1,1.67,0.17,1
4.95,17.47,86.55,1
4.77,17.89,85.4,0
0.89,3.17,2.82,1
0.1,0.5,0.05,0
4.77,17.73,84.52,0
3.49,13.6,47.46,1
4.27,16.0,68.28,1
0.51,0.71,0.36,1
4.35,18.82,81.84,1
0.22,1.06,0.23,0
1.37,5.31,7.3,1
1.29,4.01,5.16,0
3.55,13.7,48.65,1
2.25,8.43,19.0,1
0.1,0.5,0.05,0
4.63,16.74,77.54,1
0.39,2.13,0.84,0
4.25,17.7,75.17,0
3.57,13.85,49.42,1
0.1,1.26,0.13,1
0.68,2.47,1.68,0
2.45,9.24,22.65,0
1.19,5.39,6.41,0
3.51,14.66,51.44,1
4.26,17.22,73.33,1
0.44,0.83,0.37,1
0.59,2.2,1.3,1
0.9,3.64,3.27,1
0.46,1.55,0.72,0
1.36,5.46,7.41,1
0.97,4.36,4.24,1
1.08,4.9,5.3,0
0.1,1.73,0.17,0
3.18,11.84,37.69,1
0.1,0.5,0.05,1
0.38,1.71,0.64,1
0.1,1.89,0.19,0
5.28,19.69,104.02,0
1.11,4.77,5.3,1
3.34,13.24,44.16,1
3.76,14.44,54.25,1
2.77,10.53,29.18,1
1.65,5.53,9.11,0
1.62,4.34,7.05,0
4.11,14.71,60.39,0
3.9,14.52,56.7,1
2.71,11.17,30.23,1
3.12,11.77,36.74,1
0.86,2.84,2.43,1
0.1,0.5,0.05,1
3.18,12.6,40.03,0
1.29,5.99,7.72,1
3.05,12.43,37.86,1
1.04,4.44,4.62,0
2.82,9.54,26.93,0
1.72,6.26,10.78,0
3.26,13.94,45.41,1
2.84,11.67,33.09,0
3.87,13.49,52.22,0
0.1,0.5,0.05,0
1.69,6.73,11.41,0
1.76,6.1,10.76,1
3.19,10.28,32.83,1
3.96,15.11,59.77,1
0.46,1.12,0.52,1
2.32,8.18,18.95,0
1.48,5.34,7.9,1
0.26,0.86,0.22,1
2.36,8.96,21.13,0
0.79,2.31,1.83,0
0.62,2.16,1.33,0
0.44,0.5,0.22,1
0.1,0.63,0.06,1
0.25,0.5,0.13,0
3.49,13.02,45.41,1
1.25,5.48,6.84,1
1.11,3.39,3.78,1
1.41,5.92,8.32,1
0.99,4.69,4.65,1
0.83,0.5,0.42,1
0.37,1.27,0.46,1
0.82,0.81,0.67,0
0.78,2.87,2.24,1
0.1,0.5,0.05,0
2.95,9.24,27.28,1
0.88,4.9,4.33,1
1.44,5.69,8.19,0
0.74,2.12,1.56,0
0.86,4.42,3.79,0
0.1,0.5,0.05,0
1.81,5.88,10.61,1
3.37,10.98,37.02,1
0.1,1.82,0.18,0
1.24,4.99,6.22,1
2.98,11.86,35.34,0
4.93,18.99,93.66,0
3.56,13.99,49.84,1
0.11,0.5,0.06,1
2.08,8.12,16.9,0
0.1,0.5,0.05,0
0.69,2.14,1.48,0
0.1,0.5,0.05,0
3.87,14.91,57.62,1
0.1,0.5,0.05,1
0.1,0.5,0.05,0
3.27,11.35,37.1,1
1.62,7.02,11.39,1
4.08,15.26,62.26,0
3.86,15.15,58.57,1
2.99,10.47,31.26,1
1.86,5.9,10.97,1
2.4,8.45,20.31,1
1.39,5.12,7.14,0
3.53,12.87,45.37,1
0.33,2.29,0.75,1
0.1,0.52,0.05,1
0.61,3.81,2.34,0
2.15,8.51,18.34,1
0.34,0.5,0.17,0
3.78,15.21,57.53,0
3.21,10.98,35.21,0
0.82,3.31,2.73,1
4.18,15.26,63.77,1
0.1,2.09,0.21,0
4.42,17.94,79.27,1
0.96,3.07,2.97,1
3.37,12.69,42.75,1
1.34,5.3,7.13,1
0.1,1.07,0.11,0
0.72,2.74,1.96,0
3.24,11.49,37.23,1
0.79,2.41,1.9,0
2.63,9.99,26.28,1
0.46,2.75,1.27,0
2.62,10.28,26.89,0
0.67,1.93,1.29,0
3.63,14.31,51.92,1
2.6,9.58,24.91,1
1.82,7.61,13.83,0
0.33,3.29,1.1,1
4.04,15.05,60.76,1
1.19,5.18,6.18,0
0.1,0.5,0.05,0
3.53,13.32,46.98,1
0.1,0.5,0.05,0
0.32,1.06,0.34,1
2.99,13.34,39.91,1
3.58,13.35,47.74,1
0.67,3.0,2.0,1
1.16,2.87,3.34,0
2.94,11.51,33.82,1
2.99,12.29,36.8,0
0.58,1.78,1.03,1
1.5,3.7,5.56,1
3.16,11.97,37.78,1
3.99,15.18,60.55,0
0.28,1.63,0.45,0
0.54,3.67,1.99,1
4.18,15.58,65.16,1
3.23,11.59,37.45,1
1.6,5.16,8.27,0
0.1,0.54,0.05,0
1.23,5.05,6.19,0
4.31,15.94,68.71,1
4.22,16.66,70.34,1
0.99,4.15,4.12,0
3.05,11.63,35.47,1
1.28,4.14,5.3,1
4.06,15.03,60.96,1
0.61,0.5,0.31,1
0.1,0.57,0.06,0
0.23,0.88,0.2,0
0.72,2.9,2.1,0
0.43,2.03,0.87,1
3.64,14.13,51.4,1
3.72,14.05,52.24,0
3.21,12.23,39.22,1
0.1,0.5,0.05,1
1.35,4.68,6.33,1
0.1,0.5,0.05,1
2.17,7.65,16.58,1
3.55,14.2,50.46,0
0.81,2.56,2.08,0
1.52,5.94,9.0,1
1.58,6.11,9.68,1
3.1,12.37,38.33,1
3.68,14.71,54.17,1
0.1,0.94,0.09,0
4.39,15.01,65.91,1
0.51,2.89,1.47,1
1.53,7.03,10.74,1
4.06,15.04,61.02,1
0.14,0.74,0.11,0
0.1,0.5,0.05,0
1.48,4.06,6.01,0
0.98,3.13,3.07,1
3.0,10.98,32.95,1
0.1,0.5,0.05,1
1.44,4.69,6.74,0
0.98,3.14,3.07,1
2.97,11.26,33.41,1
4.16,15.18,63.06,1
0.1,0.81,0.08,1
3.92,15.45,60.6,1
0.65,4.37,2.83,0
1.32,5.91,7.8,0
1.46,5.75,8.41,1
1.01,3.33,3.35,0
2.91,11.27,32.75,1
4.1,15.83,64.84,0
1.56,5.51,8.57,1
0.1,1.01,0.1,1
3.45,11.98,41.27,1
0.1,0.5,0.05,0
0.83,3.59,2.97,0
1.43,5.2,7.43,1
3.29,12.32,40.47,1
3.11,11.72,36.51,1
3.58,12.95,46.44,0
0.1,1.32,0.13,0
1.2,3.74,4.48,0
3.77,14.57,54.87,1
0.33,1.57,0.52,1
0.53,1.26,0.67,1
0.1,0.5,0.05,1
0.19,0.5,0.09,0
3.34,13.82,46.19,1
2.49,8.55,21.27,0
0.2,0.5,0.1,1
3.71,13.12,48.68,1
1.31,3.89,5.09,0
0.97,4.97,4.84,1
3.64,14.26,51.87,1
0.1,0.5,0.05,0
2.17,7.7,16.68,0
4.16,16.52,68.64,0
5.19,19.07,98.99,1
2.19,8.94,19.56,0
3.15,11.28,35.56,0
0.1,0.5,0.05,0
3.6,14.29,51.43,1
0.33,1.96,0.66,1
0.4,1.99,0.79,1
0.61,1.46,0.88,1
3.19,11.78,37.62,1
2.03,7.85,15.94,0
0.1,0.5,0.05,1
3.06,12.71,38.87,0
0.33,0.5,0.17,1
0.42,0.96,0.4,0
1.07,3.67,3.93,1
0.59,0.5,0.29,1
0.1,0.5,0.05,1
0.1,0.88,0.09,0
3.21,12.23,39.31,1
3.96,16.31,64.62,1
3.13,13.14,41.19,0
2.77,10.88,30.15,1
1.04,4.22,4.4,1
1.47,5.65,8.32,1
1.41,3.24,4.56,1
0.1,0.5,0.05,0
4.5,17.18,77.28,0
1.36,5.67,7.73,1
1.2,4.79,5.74,1
5.49,20.15,110.62,0
3.81,15.21,57.91,0
3.54,14.64,51.86,1
1.31,5.72,7.49,1
1.26,5.57,7.02,1
4.37,16.15,70.54,0
3.89,15.63,60.79,0
3.98,15.25,60.73,1
0.57,2.58,1.47,1
2.21,8.68,19.16,0
5.46,20.64,112.64,0
4.73,17.29,81.83,1
0.59,2.16,1.27,1
0.58,3.01,1.76,0
4.81,17.93,86.31,0
0.8,3.77,3.02,1
0.1,0.97,0.1,1
2.4,8.87,21.28,1
2.44,10.36,25.24,0
0.95,3.31,3.14,1
3.3,13.75,45.4,1
0.17,1.01,0.18,0
3.22,12.24,39.46,1
6.17,22.74,140.29,0
3.24,12.24,39.64,1
2.01,7.48,15.05,0
1.02,2.87,2.92,1
1.43,5.26,7.51,1
0.94,2.93,2.76,0
1.38,5.72,7.91,1
4.11,16.66,68.49,1
3.48,12.24,42.62,0
0.77,4.31,3.33,0
0.78,2.86,2.22,0
1.77,5.93,10.49,1
4.36,17.17,74.86,1
1.09,3.8,4.16,1
1.21,4.54,5.51,0
0.1,0.5,0.05,0
2.94,10.52,30.93,1
1.56,6.49,10.1,0
0.44,1.44,0.63,1
0.38,0.5,0.19,1
1.25,5.2,6.52,0
5.35,19.36,103.53,0
1.48,4.69,6.94,0
3.26,13.36,43.59,1
0.1,0.5,0.05,0
0.56,0.5,0.28,0
2.65,10.57,28.0,0
4.31,16.14,69.6,1
0.78,2.81,2.2,1
0.58,1.96,1.14,1
0.1,0.57,0.06,1
4.07,14.87,60.55,0
3.91,16.06,62.85,1
0.24,0.5,0.12,1
3.53,13.75,48.49,1
1.5,6.23,9.36,1
0.45,1.09,0.49,0
0.87,2.5,2.19,1
0.88,4.14,3.62,0
0.65,1.7,1.11,0
5.2,19.26,100.13,1
3.23,12.99,42.0,0
2.27,8.67,19.7,0
1.63,4.76,7.76,1
0.91,4.85,4.41,0
1.13,3.86,4.34,0
0.66,2.17,1.43,0
1.19,4.73,5.64,1
3.16,12.5,39.45,0
5.04,20.73,104.49,0
1.07,2.74,2.92,0
1.16,5.05,5.84,0
5.07,19.87,100.82,1
1.05,3.87,4.05,0
0.1,1.01,0.1,1
0.9,4.16,3.73,0
4.97,17.76,88.19,1
1.57,7.38,11.63,1
3.72,12.91,48.07,1
3.2,11.27,36.12,0
0.52,1.76,0.91,0
0.1,1.92,0.19,0
1.27,4.58,5.81,1
1.22,4.6,5.59,0
1.08,5.24,5.64,0
1.0,3.55,3.55,1
0.1,0.5,0.05,1
0.1,0.5,0.05,1
3.41,14.05,47.89,1
3.36,12.84,43.19,1
0.1,1.92,0.19,1
3.5,13.9,48.69,1
3.44,12.55,43.15,1
2.78,10.62,29.56,1
1.44,4.8,6.92,0
2.27,8.08,18.34,0
0.1,3.96,0.4,1
0.1,1.19,0.12,1
3.52,14.07,49.55,0
0.26,0.5,0.13,0
1.66,7.57,12.58,1
2.59,10.72,27.75,1
3.65,15.38,56.14,0
0.1,1.85,0.18,0
1.4,4.14,5.8,1
4.22,15.14,63.86,1
1.02,3.06,3.1,1
0.85,2.47,2.1,1
0.98,4.0,3.94,1
2.07,7.4,15.3,0
0.1,2.04,0.2,1
1.61,7.64,12.31,1
0.94,3.55,3.32,1
0.62,3.91,2.41,1
0.67,3.74,2.5,1
3.82,14.16,54.09,1
0.27,0.5,0.14,0
0.1,0.5,0.05,0
1.55,5.39,8.39,1
3.29,12.65,41.56,1
2.77,10.62,29.46,1
0.24,0.95,0.22,1
2.89,11.4,32.94,0
4.79,17.23,82.55,1
4.32,16.76,72.49,0
3.36,12.43,41.79,1
1.19,4.7,5.61,1
5.05,19.97,100.95,1
3.15,10.99,34.62,1
2.83,10.52,29.74,0
0.98,3.63,3.56,1
2.53,9.22,23.37,1
0.69,3.36,2.33,1
0.61,1.72,1.04,1
0.97,3.23,3.12,1
3.73,13.6,50.71,1
0.1,1.25,0.13,1
3.6,13.28,47.8,1
4.38,17.0,74.45,1
0.1,1.96,0.2,1
2.79,10.54,29.38,1
2.83,11.65,32.96,1
5.35,21.68,116.05,1
3.74,15.04,56.27,0
0.1,0.5,0.05,1
3.15,12.48,39.3,1
3.76,13.27,49.97,1
2.71,9.69,26.28,1
1.13,3.83,4.34,1
3.82,16.29,62.16,1
3.73,13.53,50.49,1
4.59,16.76,76.88,0
3.68,13.15,48.38,1
1.66,6.76,11.21,1
0.41,1.68,0.7,0
0.65,3.35,2.19,0
0.1,0.92,0.09,0
2.35,7.83,18.41,0
2.67,9.49,25.34,1
1.08,5.21,5.63,1
3.5,13.15,46.06,0
0.1,1.33,0.13,1
1.09,4.03,4.4,0
4.86,17.71,86.14,1
4.85,18.19,88.26,0
0.1,0.5,0.05,1
1.69,5.96,10.04,1
1.02,4.04,4.13,1
3.1,12.17,37.67,1
0.1,0.5,0.05,1
1.71,6.5,11.14,0
3.77,13.86,52.28,0
4.03,14.8,59.65,1
4.11,15.73,64.7,1
0.43,1.21,0.52,0
1.13,5.41,6.12,1
0.1,1.33,0.13,0
3.33,13.61,45.37,1
0.1,0.5,0.05,1
1.19,3.75,4.45,1
2.48,9.47,23.44,1
0.23,0.76,0.18,0
3.36,12.27,41.21,0
0.1,0.5,0.05,1
4.38,16.62,72.8,0
0.1,0.5,0.05,0
0.1,0.93,0.09,1
4.16,16.34,67.98,1
3.2,13.05,41.79,1
1.37,4.19,5.74,1
0.1,0.7,0.07,0
4.63,17.01,78.78,1
4.72,16.97,80.15,1
3.33,12.3,40.92,1
3.24,13.17,42.67,0
4.09,15.24,62.29,0
0.86,4.54,3.92,0
0.2,1.21,0.24,0
0.81,2.76,2.23,1
4.02,16.19,65.02,1
1.28,5.21,6.64,1
3.24,11.55,37.36,1
4.31,17.87,77.03,0
1.04,4.17,4.35,0
0.72,2.77,2.01,0
0.1,0.5,0.05,0
0.83,4.1,3.41,1
3.79,14.83,56.29,1
0.86,3.75,3.21,1
1.82,6.51,11.84,0
0.48,2.49,1.19,1
0.57,2.9,1.65,0
4.92,18.16,89.34,1
0.94,2.43,2.29,1
1.3,5.39,6.98,0
3.65,12.62,46.09,1
1.4,5.43,7.57,1
2.46,8.98,22.09,0
0.59,3.21,1.89,1
1.3,4.61,5.98,1
0.83,4.03,3.34,0
0.98,3.31,3.23,0
3.41,13.76,46.93,1
3.32,14.28,47.48,1
0.1,0.5,0.05,0
0.42,1.84,0.78,1
2.2,10.56,23.24,0
0.86,3.33,2.86,0
1.92,7.34,14.08,1
2.93,11.76,34.47,1
2.99,11.39,34.04,1
0.65,1.09,0.71,1
2.82,11.61,32.71,1
0.23,0.5,0.11,1
3.24,11.98,38.84,0
3.49,14.21,49.55,1
2.53,9.34,23.66,0
0.83,2.61,2.17,1
0.1,1.08,0.11,0
4.41,16.07,70.8,1
3.27,11.44,37.41,0
1.42,5.62,7.98,0
2.32,8.66,20.07,0
2.44,8.28,20.19,1
0.73,3.27,2.37,0
3.55,13.87,49.24,1
5.05,18.92,95.6,0
1.43,5.19,7.41,0
4.34,16.87,73.23,0
0.79,3.94,3.1,0
1.79,6.57,11.75,0
1.11,4.74,5.25,0
0.1,0.83,0.08,1
4.06,16.13,65.46,1
0.66,2.52,1.65,0
1.03,3.18,3.28,1
0.59,1.87,1.1,1
2.63,10.29,27.1,1
0.27,2.47,0.66,1
0.1,0.5,0.05,0
0.95,4.27,4.08,0
2.06,7.55,15.53,1
1.59,6.11,9.69,0
3.43,14.24,48.81,1
3.59,14.27,51.27,1
1.06,3.02,3.18,1
3.43,12.57,43.08,1
3.84,15.62,60.04,1
0.1,0.5,0.05,1
1.81,5.95,10.77,1
0.1,0.5,0.05,0
3.7,14.62,54.07,1
0.23,1.65,0.37,1
2.28,8.67,19.76,1
1.27,6.81,8.66,1
1.49,6.3,9.37,1
3.3,12.34,40.73,1
0.1,0.5,0.05,1
0.1,0.5,0.05,1
0.98,3.99,3.9,0
1.36,4.77,6.49,0
1.76,8.04,14.17,1
4.06,16.6,67.38,0
3.12,12.36,38.57,0
0.97,2.72,2.63,0
3.89,14.23,55.27,1
1.3,5.96,7.76,0
2.97,10.83,32.14,1
1.56,6.84,10.68,1
3.26,12.78,41.71,0
0.42,1.63,0.68,1
0.67,1.99,1.33,0
0.78,2.87,2.23,0
0.16,0.77,0.13,1
0.1,1.21,0.12,0
1.44,4.77,6.87,1
2.31,8.56,19.75,1
1.71,6.54,11.19,0
3.9,15.37,60.0,0
1.08,3.37,3.64,0
4.51,16.08,72.5,1
0.31,1.7,0.52,1
1.07,2.87,3.08,1
0.1,1.41,0.14,1
0.44,1.56,0.69,0
2.61,8.69,22.69,1
3.42,12.6,43.03,1
2.93,11.44,33.52,0
5.36,19.95,106.93,0
2.27,8.64,19.6,0
0.66,3.12,2.07,1
2.5,9.33,23.32,1
0.89,2.62,2.32,1
0.35,1.11,0.39,1
2.12,9.2,19.55,1
3.78,15.7,59.28,1
0.78,1.35,1.05,1
3.08,12.56,38.66,1
3.01,11.63,34.97,1
4.97,19.63,97.62,0
2.35,8.49,19.93,1
5.57,19.74,109.94,1
0.32,1.69,0.54,0
1.95,6.65,12.97,0
3.2,11.05,35.38,1
1.03,2.86,2.94,0
3.58,14.07,50.3,0
2.65,10.18,26.98,0
0.1,1.01,0.1,0
2.04,8.28,16.88,0
4.0,14.86,59.43,1
1.13,4.26,4.83,1
3.3,12.13,40.06,1
1.27,4.67,5.95,1
4.09,14.77,60.41,0
1.68,6.7,11.27,1
1.42,6.26,8.88,0
5.01,18.39,92.18,0
0.1,1.41,0.14,0
0.65,2.56,1.67,1
0.1,0.57,0.06,1
0.86,1.92,1.66,0
1.9,5.78,10.99,0
1.17,4.55,5.31,1
5.83,22.79,132.86,0
0.82,2.58,2.12,0
6.98,27.85,194.31,1
0.1,0.97,0.1,1
1.08,3.38,3.64,0
0.6,2.3,1.38,0
4.49,19.06,85.62,1
5.51,19.94,109.84,1
0.45,2.15,0.98,0
0.84,2.93,2.45,0
0.64,2.99,1.91,0
5.52,22.0,121.45,1
3.13,11.57,36.14,1
1.63,7.09,11.56,1
3.94,16.73,65.86,1
0.73,2.84,2.08,0
0.88,3.97,3.5,0
0.2,0.5,0.1,1
1.22,4.65,5.67,1
5.05,19.05,96.22,0
0.13,1.11,0.14,0
5.37,21.39,114.96,0
2.14,8.03,17.16,0
4.81,19.49,93.64,1
5.69,22.83,129.8,0
0.39,2.15,0.83,0
4.02,14.87,59.84,1
4.14,15.24,63.06,1
1.6,5.45,8.74,0
0.1,1.14,0.11,0
0.74,1.83,1.35,1
1.21,5.13,6.18,0
2.5,8.63,21.57,0
0.55,2.77,1.53,0
2.63,10.01,26.33,1
0.84,4.27,3.6,1
3.6,14.58,52.46,0
2.27,9.79,22.26,1
3.63,14.95,54.25,1
4.13,15.82,65.4,1
4.67,16.82,78.57,1
1.19,3.69,4.39,1
0.58,0.53,0.31,1
0.59,1.37,0.81,0
2.46,9.41,23.16,0
0.1,0.5,0.05,0
3.97,14.96,59.46,1
3.28,12.85,42.13,1
0.58,1.95,1.13,0
0.54,1.16,0.63,1
3.26,12.36,40.36,1
3.57,12.84,45.79,0
1.14,4.13,4.73,1
0.12,1.54,0.19,1
0.67,2.34,1.58,1
5.8,23.46,136.05,1
0.83,4.31,3.59,0
4.22,15.57,65.66,1
2.66,9.22,24.54,1
4.03,15.27,61.5,1
0.98,4.66,4.58,0
1.57,5.58,8.77,0
3.63,14.53,52.79,1
1.15,5.32,6.1,0
2.99,10.75,32.15,1
4.18,15.33,64.05,1
5.19,20.3,105.38,1
4.92,18.82,92.64,1
0.1,0.5,0.05,1
4.85,18.16,88.15,1
0.46,1.69,0.77,0
0.1,0.5,0.05,0
3.85,15.25,58.77,1
4.13,15.33,63.37,1
0.21,0.5,0.1,0
2.82,10.7,30.17,1
0.1,0.5,0.05,0
4.27,17.58,75.05,1
1.55,5.42,8.41,0
3.46,12.28,42.53,1
2.83,11.17,31.66,1
3.69,13.49,49.74,1
4.03,14.7,59.29,0
4.16,16.22,67.46,1
0.1,0.5,0.05,0
2.31,7.63,17.64,1
3.19,13.52,43.19,1
1.48,6.08,8.99,0
0.96,3.43,3.29,1
0.43,1.62,0.69,1
3.04,11.97,36.44,0
2.76,11.25,31.0,1
0.1,0.5,0.05,0
3.63,14.08,51.08,1
3.51,12.92,45.34,1
0.1,0.5,0.05,1
0.44,1.8,0.79,0
0.11,0.5,0.05,0
0.52,2.56,1.33,0
1.66,6.69,11.11,0
2.77,9.32,25.83,1
0.1,0.5,0.05,0
0.76,2.58,1.95,1
2.53,11.09,28.08,1
3.35,12.04,40.29,0
3.39,12.71,43.07,1
0.1,0.5,0.05,1
0.1,0.5,0.05,0
1.85,7.16,13.24,0
1.72,7.65,13.15,0
0.41,1.91,0.78,0
3.86,14.04,54.26,1
3.3,14.74,48.6,1
1.35,5.19,7.02,1
4.08,15.05,61.47,0
2.95,12.34,36.43,1
0.23,0.5,0.11,0
2.75,11.8,32.49,1
1.69,5.71,9.63,1
0.18,1.81,0.32,0
4.05,15.57,63.12,0
0.9,4.47,4.03,1
0.1,1.9,0.19,0
1.26,3.89,4.92,0
2.98,12.34,36.73,1
3.76,13.17,49.57,0
3.37,11.97,40.34,1
0.93,2.88,2.68,1
2.82,11.12,31.35,1
0.96,3.67,3.53,0
1.25,4.6,5.73,1
0.1,0.5,0.05,0
0.1,0.85,0.09,0
3.66,14.46,52.98,0
0.74,3.67,2.7,1
1.21,6.04,7.28,1
0.1,0.5,0.05,1
0.6,1.86,1.12,1
0.27,1.54,0.42,1
1.88,6.22,11.67,1
2.65,9.52,25.19,1
0.14,1.34,0.19,1
0.69,2.51,1.72,1
0.1,0.5,0.05,0
1.99,6.35,12.61,0
3.86,14.71,56.82,1
4.35,17.44,75.84,1
2.99,12.28,36.74,1
4.23,16.16,68.31,0
3.42,14.62,50.06,1
4.03,15.23,61.35,1
3.18,11.97,38.06,1
0.74,0.76,0.56,1
3.23,11.9,38.41,0
4.02,15.94,64.04,1
3.45,14.37,49.61,0
0.1,0.5,0.05,1
3.82,14.89,56.91,1
0.99,4.61,4.57,0
4.44,16.89,74.99,0
0.1,0.5,0.05,1
4.14,15.95,66.08,1
1.21,5.19,6.26,1
5.31,19.42,103.13,0
1.19,4.32,5.13,0
3.36,11.86,39.88,1
0.64,0.5,0.32,0
0.49,2.67,1.3,0
0.27,1.03,0.28,1
3.65,15.14,55.26,0
0.1,1.07,0.11,1
0.67,2.27,1.52,0
0.1,0.5,0.05,1
0.67,3.01,2.03,0
3.06,12.4,37.97,1
3.58,13.85,49.52,1
1.68,7.27,12.23,1
0.43,1.41,0.61,1
3.67,13.13,48.13,1
0.1,0.5,0.05,0
0.62,2.53,1.58,0
0.74,1.85,1.37,0
1.04,2.89,3.0,0
0.1,0.74,0.07,1
3.47,12.84,44.52,1
2.88,10.79,31.04,1
3.07,11.39,35.02,0
0.1,1.6,0.16,1
0.1,1.39,0.14,1
1.06,3.02,3.19,0
4.59,17.0,77.99,1
1.6,6.75,10.78,0
4.67,18.24,85.24,1
3.08,11.66,35.89,1
0.1,0.5,0.05,0
0.9,2.87,2.58,0
0.98,3.32,3.25,0
0.14,0.77,0.11,1
2.59,11.19,28.93,0
1.15,3.83,4.4,1
3.83,13.74,52.69,0
4.2,15.87,66.63,1
4.48,17.84,79.89,1
3.57,12.41,44.3,1
0.17,1.82,0.32,1
0.34,1.17,0.4,0
0.17,0.5,0.08,0
2.34,7.62,17.85,1
4.06,15.99,64.87,1
4.32,16.27,70.24,1
1.05,4.13,4.34,1
1.37,4.47,6.11,0
3.09,11.47,35.41,1
3.15,11.59,36.52,0
0.1,0.5,0.05,1
0.1,0.5,0.05,1
1.01,2.61,2.63,1
0.93,5.71,5.3,1
3.37,11.7,39.41,0
0.95,3.76,3.58,1
3.08,10.28,31.62,1
0.1,0.5,0.05,1
0.1,0.5,0.05,1
4.47,17.13,76.6,0
2.86,11.88,33.98,1
0.27,1.33,0.35,0
1.23,4.56,5.62,1
1.0,3.04,3.05,0
0.32,2.42,0.78,0
3.17,12.8,40.62,1
3.21,11.21,36.01,1
4.04,15.39,62.19,1
1.62,6.26,10.12,1
0.86,3.0,2.58,1
1.24,5.33,6.62,0
3.88,15.4,59.75,1
4.05,15.22,61.58,1
0.1,0.5,0.05,1
1.13,5.49,6.2,1
1.04,4.7,4.89,0
3.61,13.76,49.65,0
3.21,10.89,34.97,0
3.82,14.8,56.54,0
3.87,15.25,58.95,0
1.18,2.28,2.68,1
4.45,17.11,76.17,1
2.95,10.88,32.11,1
2.84,10.6,30.09,1
0.75,2.11,1.57,1
0.1,0.5,0.05,0
3.34,13.8,46.07,1
0.1,0.5,0.05,0
0.56,2.9,1.62,1
3.67,13.3,48.81,0
0.92,4.09,3.74,0
0.69,2.62,1.81,1
0.1,0.66,0.07,1
0.1,0.5,0.05,0
1.53,6.33,9.69,1
5.29,18.03,95.31,0
3.53,12.28,43.34,1
1.03,4.23,4.35,0
0.75,1.2,0.89,1
3.52,12.96,45.65,1
3.67,13.91,51.06,1
2.38,8.4,20.03,0
